sale_id,property_id,customer_id,agent_id,sale_date,listing_price,sale_price,discount,payment_method,sale_status
S001,P1001,C001,A001,15/01/2026,"£285,000","£280,000","£5,000",Mortgage,Completed
S002,P1002,C002,A002,22/01/2026,"£365,000","£355,000","£10,000",mortgage,COMPLETED
S003,P1003,C003,A003,05/02/2026,"£525,000","£510,000","£15,000",Cash,completed
S004,P1005,C004,A001,18/02/2026,"£315,000","£310,000","£5,000",Mortgage,Completed
S005,P1006,C005,A004,03/03/2026,"£225,000","£218,000","£7,000",Cash,COMPLETED
S006,P1007,C006,A002,17/03/2026,"£275,000","£268,000","£7,000",Mortgage,completed
S007,P1009,C007,A003,29/03/2026,"£410,000","£398,000","£12,000",Mortgage,Completed
S008,P1010,C008,A005,08/04/2026,"£295,000","£288,000","£7,000",mortgage,Completed
S009,P1011,C009,A001,19/04/2026,"£560,000","£545,000","£15,000",Cash,Completed
S010,P1012,C010,A002,02/05/2026,"£290,000","£282,000","£8,000",Mortgage,completed
S011,P1014,C011,A003,15/05/2026,"£430,000","£420,000","£10,000",Mortgage,COMPLETED
S012,P1015,C012,A004,28/05/2026,"£335,000","£328,000","£7,000",Cash,Completed
S013,P1016,C013,A005,06/06/2026,"£205,000","£198,000","£7,000",Mortgage,completed
S014,P1017,C014,A001,18/06/2026,"£590,000","£575,000","£15,000",Mortgage,Completed
S015,P1018,C015,A002,01/07/2026,"£270,000","£262,000","£8,000",Cash,Completed
S016,P1020,C016,A003,14/07/2026,"£680,000","£660,000","£20,000",Mortgage,completed
S017,P1021,C017,A001,25/07/2026,"£295,000","£288,000","£7,000",Mortgage,Completed
S018,P1022,C018,A004,04/08/2026,"£395,000","£385,000","£10,000",mortgage,Completed
S019,P1023,C019,A005,12/08/2026,"£350,000","£342,000","£8,000",Cash,COMPLETED
S020,P1024,C020,A002,18/08/2026,"£215,000","£208,000","£7,000",Mortgage,completed
S021,P1025,C021,A003,22/08/2026,"£375,000","£365,000","£10,000",Mortgage,Completed
S022,P1001,C001,A001,15/01/2026,"£285,000","£280,000","£5,000",Mortgage,Completed
S023,P1003,C023,A003,31/08/2026,"£525,000","£515,000","£10,000",Cash,Completed
S024,P1008,C024,A004,05/09/2026,"£450,000","£440,000","£10,000",Mortgage,Pending
S025,P1013,C025,A005,12/09/2026,"£385,000","£375,000","£10,000",Mortgage,Pending
