property_id,property_type,bedrooms,bathrooms,area_sqft,year_built,property_status,location_id
P1001,Apartment,2,2,985,2015,Sold,L001
P1002,apartment,3,2,1250,2012,SOLD,L002
P1003,House,4,3,2100,2008,sold,L003
P1004,HOUSE,3,2,1750,2018,Available,L004
P1005,Condo,2,2,1100,2020,sold,L001
P1006,Flat,1,1,650,2016,Sold,L005
P1007,apartment,2,1,875,2014,sold,L002
P1008,House,5,4,2800,2005,Available,L006
P1009,Condo,3,2,1450,2019,SOLD,L003
P1010,flat,2,2,1020,2017,sold,L004
P1011,House,4,3,2300,2010,Sold,L007
P1012,Apartment,2,2,950,2013,Sold,L005
P1013,apartment,3,2,1350,2011,Available,L008
P1014,House,3,2,1850,2021,SOLD,L001
P1015,Condo,2,2,1150,2018,Sold,L009
P1016,Flat,1,1,620,2015,Sold,L010
P1017,House,4,3,2400,2007,Sold,L006
P1018,Apartment,2,1,890,2016,sold,L002
P1019,Condo,3,2,1520,2022,Available,L003
P1020,HOUSE,5,4,3100,2004,Sold,L007
P1021,apartment,2,2,980,2015,Sold,L001
P1022,House,3,2,1700,2018,Sold,L004
P1023,Condo,2,2,1080,2020,SOLD,L009
P1024,Flat,1,1,700,2012,Sold,L010
P1025,Apartment,3,2,1280,2019,Sold,L008
